dataset,datafile,filter_function,processing time
small,"random_lobster(5,0_4,0_6).json",ev_5,0.004370212554931641
small,"random_lobster(5,0_4,0_6).json",ev_norm_1,0.005579948425292969
small,"random_lobster(5,0_4,0_6).json",ev_norm_2,0.005579948425292969
small,"random_lobster(5,0_4,0_6).json",ev_norm_3,0.005579948425292969
small,"random_lobster(5,0_4,0_6).json",ev_norm_4,0.005579948425292969
small,"random_lobster(5,0_4,0_6).json",ev_norm_5,0.005579948425292969
small,"barbell_graph(5,2).json",agd,0.0006511211395263672
small,"barbell_graph(5,2).json",ecc,0.0009748935699462891
small,"barbell_graph(5,2).json",pr_0_85,0.00261688232421875
small,"barbell_graph(5,2).json",fv,0.009472131729125977
small,"barbell_graph(5,2).json",fv_norm,0.008882999420166016
small,"barbell_graph(5,2).json",den_0_5,0.0007309913635253906
small,"barbell_graph(5,2).json",ev_1,0.0018050670623779297
small,"barbell_graph(5,2).json",ev_2,0.0018050670623779297
small,"barbell_graph(5,2).json",ev_3,0.0018050670623779297
small,"barbell_graph(5,2).json",ev_4,0.0018050670623779297
small,"barbell_graph(5,2).json",ev_5,0.0018050670623779297
small,"barbell_graph(5,2).json",ev_norm_1,0.011207103729248047
small,"barbell_graph(5,2).json",ev_norm_2,0.011207103729248047
small,"barbell_graph(5,2).json",ev_norm_3,0.011207103729248047
small,"barbell_graph(5,2).json",ev_norm_4,0.011207103729248047
small,"barbell_graph(5,2).json",ev_norm_5,0.011207103729248047
small,"pappus_graph().json",agd,0.0012090206146240234
small,"pappus_graph().json",ecc,0.0015039443969726562
small,"pappus_graph().json",pr_0_85,0.0017018318176269531
small,"pappus_graph().json",fv,0.014156103134155273
small,"pappus_graph().json",fv_norm,0.014170646667480469
small,"pappus_graph().json",den_0_5,0.0011620521545410156
small,"pappus_graph().json",ev_1,0.0021240711212158203
small,"pappus_graph().json",ev_2,0.0021240711212158203
small,"pappus_graph().json",ev_3,0.0021240711212158203
small,"pappus_graph().json",ev_4,0.0021240711212158203
small,"pappus_graph().json",ev_5,0.0021240711212158203
small,"pappus_graph().json",ev_norm_1,0.003973245620727539
small,"pappus_graph().json",ev_norm_2,0.003973245620727539
small,"pappus_graph().json",ev_norm_3,0.003973245620727539
small,"pappus_graph().json",ev_norm_4,0.003973245620727539
small,"pappus_graph().json",ev_norm_5,0.003973245620727539
small,"lollipop_graph(10,50).json",agd,0.011522054672241211
small,"lollipop_graph(10,50).json",ecc,0.02412104606628418
small,"lollipop_graph(10,50).json",pr_0_85,0.024488210678100586
small,"lollipop_graph(10,50).json",fv,0.016690969467163086
small,"lollipop_graph(10,50).json",fv_norm,0.012953758239746094
small,"lollipop_graph(10,50).json",den_0_5,0.013241052627563477
small,"lollipop_graph(10,50).json",ev_1,0.004551887512207031
small,"lollipop_graph(10,50).json",ev_2,0.004551887512207031
small,"lollipop_graph(10,50).json",ev_3,0.004551887512207031
small,"lollipop_graph(10,50).json",ev_4,0.004551887512207031
small,"lollipop_graph(10,50).json",ev_5,0.004551887512207031
small,"lollipop_graph(10,50).json",ev_norm_1,0.006270885467529297
small,"lollipop_graph(10,50).json",ev_norm_2,0.006270885467529297
small,"lollipop_graph(10,50).json",ev_norm_3,0.006270885467529297
small,"lollipop_graph(10,50).json",ev_norm_4,0.006270885467529297
small,"lollipop_graph(10,50).json",ev_norm_5,0.006270885467529297
small,"barbell_graph(5,0).json",agd,0.0004987716674804688
small,"barbell_graph(5,0).json",ecc,0.0005500316619873047
small,"barbell_graph(5,0).json",pr_0_85,0.001377105712890625
small,"barbell_graph(5,0).json",fv,0.0070269107818603516
small,"barbell_graph(5,0).json",fv_norm,0.00834798812866211
small,"barbell_graph(5,0).json",den_0_5,0.0008308887481689453
small,"barbell_graph(5,0).json",ev_1,0.0029778480529785156
small,"barbell_graph(5,0).json",ev_2,0.0029778480529785156
small,"barbell_graph(5,0).json",ev_3,0.0029778480529785156
small,"barbell_graph(5,0).json",ev_4,0.0029778480529785156
small,"barbell_graph(5,0).json",ev_5,0.0029778480529785156
small,"barbell_graph(5,0).json",ev_norm_1,0.0033621788024902344
small,"barbell_graph(5,0).json",ev_norm_2,0.0033621788024902344
small,"barbell_graph(5,0).json",ev_norm_3,0.0033621788024902344
small,"barbell_graph(5,0).json",ev_norm_4,0.0033621788024902344
small,"barbell_graph(5,0).json",ev_norm_5,0.0033621788024902344
small,"random_lobster(20,0_4,0_6).json",agd,0.011626958847045898
small,"random_lobster(20,0_4,0_6).json",ecc,0.019932031631469727
small,"random_lobster(20,0_4,0_6).json",pr_0_85,0.029427051544189453
small,"random_lobster(20,0_4,0_6).json",fv,0.024088621139526367
small,"random_lobster(20,0_4,0_6).json",fv_norm,0.014714956283569336
small,"random_lobster(20,0_4,0_6).json",den_0_5,0.013521909713745117
small,"random_lobster(20,0_4,0_6).json",ev_1,0.005406856536865234
small,"random_lobster(20,0_4,0_6).json",ev_2,0.005406856536865234
small,"random_lobster(20,0_4,0_6).json",ev_3,0.005406856536865234
small,"random_lobster(20,0_4,0_6).json",ev_4,0.005406856536865234
small,"random_lobster(20,0_4,0_6).json",ev_5,0.005406856536865234
small,"random_lobster(20,0_4,0_6).json",ev_norm_1,0.0071868896484375
small,"random_lobster(20,0_4,0_6).json",ev_norm_2,0.0071868896484375
small,"random_lobster(20,0_4,0_6).json",ev_norm_3,0.0071868896484375
small,"random_lobster(20,0_4,0_6).json",ev_norm_4,0.0071868896484375
small,"random_lobster(20,0_4,0_6).json",ev_norm_5,0.0071868896484375
small,"gp-miner_miner-gene-protein.json",agd,0.01399993896484375
small,"gp-miner_miner-gene-protein.json",ecc,0.019418716430664062
small,"gp-miner_miner-gene-protein.json",pr_0_85,0.036804914474487305
small,"gp-miner_miner-gene-protein.json",fv,0.00517725944519043
small,"gp-miner_miner-gene-protein.json",fv_norm,0.014252185821533203
small,"gp-miner_miner-gene-protein.json",den_0_5,0.015106916427612305
small,"gp-miner_miner-gene-protein.json",ev_1,0.004658937454223633
small,"gp-miner_miner-gene-protein.json",ev_2,0.004658937454223633
small,"gp-miner_miner-gene-protein.json",ev_3,0.004658937454223633
small,"gp-miner_miner-gene-protein.json",ev_4,0.004658937454223633
small,"gp-miner_miner-gene-protein.json",ev_5,0.004658937454223633
small,"gp-miner_miner-gene-protein.json",ev_norm_1,0.006783008575439453
small,"gp-miner_miner-gene-protein.json",ev_norm_2,0.006783008575439453
small,"gp-miner_miner-gene-protein.json",ev_norm_3,0.006783008575439453
small,"gp-miner_miner-gene-protein.json",ev_norm_4,0.006783008575439453
small,"gp-miner_miner-gene-protein.json",ev_norm_5,0.006783008575439453
small,"barabasi_albert_graph(20,3).json",agd,0.0020568370819091797
small,"barabasi_albert_graph(20,3).json",ecc,0.002187013626098633
small,"barabasi_albert_graph(20,3).json",pr_0_85,0.00578618049621582
small,"barabasi_albert_graph(20,3).json",fv,0.05374479293823242
small,"barabasi_albert_graph(20,3).json",fv_norm,0.10720300674438477
small,"barabasi_albert_graph(20,3).json",den_0_5,0.0021178722381591797
small,"barabasi_albert_graph(20,3).json",ev_1,0.002324819564819336
small,"barabasi_albert_graph(20,3).json",ev_2,0.002324819564819336
small,"barabasi_albert_graph(20,3).json",ev_3,0.002324819564819336
small,"barabasi_albert_graph(20,3).json",ev_4,0.002324819564819336
small,"barabasi_albert_graph(20,3).json",ev_5,0.002324819564819336
small,"barabasi_albert_graph(20,3).json",ev_norm_1,0.0041081905364990234
small,"barabasi_albert_graph(20,3).json",ev_norm_2,0.0041081905364990234
small,"barabasi_albert_graph(20,3).json",ev_norm_3,0.0041081905364990234
small,"barabasi_albert_graph(20,3).json",ev_norm_4,0.0041081905364990234
small,"barabasi_albert_graph(20,3).json",ev_norm_5,0.0041081905364990234
small,"barabasi_albert_graph(50,40).json",agd,0.029701948165893555
small,"barabasi_albert_graph(50,40).json",ecc,0.023540019989013672
small,"barabasi_albert_graph(50,40).json",pr_0_85,0.06353211402893066
small,"barabasi_albert_graph(50,40).json",fv,0.05889892578125
