record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
456,10,,,,,13.493,Option 2,user_movies_den_0_5_10_async_label_prop.png,"user_ring_of_cliques(6,70)_den_0_5_10_async_label_prop.png","user_ring_of_cliques(6,70)_fv_10_async_label_prop.png","user_barbell_graph(50,20)_pr_0_85_10_async_label_prop.png","user_ring_of_cliques(6,70).png"
465,10,,,,,4.562,Option 2,user_circular_ladder_graph(100)_pr_0_85_20_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_pr_0_85_20_connected_components.png","user_ring_of_cliques(6,70)_agd_20_connected_components.png",user_circular_ladder_graph(100)_ecc_20_connected_components.png,user_circular_ladder_graph(100).png
486,10,,,,,10.613,Option 4,user_movies_ecc_10_modularity.png,user_bcsstk22_fv_10_modularity.png,user_movies_den_0_5_10_modularity.png,user_bio-diseasome_fv_10_modularity.png,user_movies.png
496,10,,,,,4.867,Option 3,user_movies_den_0_5_10_modularity.png,user_enron-email_fv_10_modularity.png,"user_random_lobster(100,0_6,0_4)_den_0_5_10_modularity.png","user_random_lobster(100,0_6,0_4)_agd_10_modularity.png","user_random_lobster(100,0_6,0_4).png"
515,10,,,,,10.041,Option 3,"user_barbell_graph(50,20)_pr_0_85_20_modularity.png",user_circular_ladder_graph(100)_fv_20_modularity.png,"user_barbell_graph(50,20)_ecc_20_modularity.png",user_bcsstk22_ecc_20_modularity.png,"user_barbell_graph(50,20).png"
531,10,,,,,8.007,Option 1,user_movies_den_0_5_20_connected_components.png,user_bcsstk20_fv_20_connected_components.png,"user_connected_caveman_graph(15,30)_fv_20_connected_components.png","user_connected_caveman_graph(15,30)_ecc_20_connected_components.png","user_connected_caveman_graph(15,30).png"
546,10,,,,,6.592,Option 2,"user_connected_caveman_graph(15,30)_ecc_10_modularity.png",user_enron-email_pr_0_85_10_modularity.png,user_hic_5k_net_6_den_0_5_10_modularity.png,"user_connected_caveman_graph(15,30)_den_0_5_10_modularity.png","user_connected_caveman_graph(15,30).png"
560,10,,,,,9.458,Option 4,user_bcsstk_pr_0_85_20_connected_components.png,user_movies_ecc_20_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_pr_0_85_20_connected_components.png","user_watts_strogatz_graph(100,5,0.05)_ecc_20_connected_components.png","user_watts_strogatz_graph(100,5,0.05).png"
581,10,,,,,12.288,Option 2,user_bcsstk_fv_6_modularity.png,user_bcsstk_den_0_5_6_modularity.png,user_hic_5k_net_6_fv_6_modularity.png,user_usair97_den_0_5_6_modularity.png,user_bcsstk.png
598,10,,,,,9.197,Option 4,user_map_of_science_den_0_5_30_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_fv_30_async_label_prop.png,user_usair97_den_0_5_30_async_label_prop.png,user_map_of_science_ecc_30_async_label_prop.png,user_map_of_science.png
609,10,,,,,8.221,Option 4,"user_connected_caveman_graph(15,30)_agd_30_connected_components.png",user_bio-diseasome_ecc_30_connected_components.png,user_bio-celegans_pr_0_85_30_connected_components.png,user_bio-diseasome_den_0_5_30_connected_components.png,user_bio-diseasome.png
